Review,Sentiments,Aspects,Aspects With Value,Extra Tag
im a more happier person after discovering the ip button ,positive,button,button[+2],
but  if you re looking for my opinion of the apex dvd player  i love it ,positive,player,player[+2],
it practically plays almost everything you give it ,positive,player,player[+1],[p]
i ve had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor ,positive,"player, sound","player[+2], sound[-1]",
for the price it is a well spent investment ,positive,price,price[+2],
this is by far the nicest one  in so many ways ,positive,player,player[+3],[p]
it s very sleek looking with a very good front panel button layout  and it has a great feature set ,positive,"look, layout, feature","look[+3], layout[+3], feature[+2]",
its fastforward and rewind work much more smoothly and consistently than those of other models i ve had ,positive,"forward, rewind","forward[+2], rewind[+2]",
it plays alternate video formats  vcds  svcds  cvds  very well ,positive,format,format[+3],
and amazoncom has it for such a great price  how can you go wrong ,positive,price,price[+3],
what got me to buy was the reviewer that said it would play dvdrs fill of files  e  mp3s  ,positive,"play, r","play[+2], r[+1]",
it sure does ,positive,r,r[+1],[p]
that s a rare and valuable feature ,positive,r,r[+2],[p]
another nice thing is that the unit has both optical and coax digital audio outputs  though the latter was not mentioned in the literature i d scanned before buying ,positive,output,output[+2],
at doublespeed  2x forward speed   it still plays mp3s with sound  they are pitchcorrected and smooth  but twice as fast ,positive,forward,forward[+2],
weaknesses are minor  the feel and layout of the remote control are only soso  it does nt show the complete filenames of mp3s with really long names  you must cycle through every zoom setting  2x  3x  4x  12x  etc  before getting back to normal size  sorry if i m just ignorant of a way to get back to 1x quickly  ,negative,"control, filename","control[-1], filename[-1]",
update  the finish is more  mirror  than silver  and i like it ,positive,finish,finish[+2],
many of our disney movies do nt play on this dvd player ,negative,"play, movie","play[-2], movie[-2]",
player has a problem with duallayer dvd s such as alias season 1 and season 2 ,negative,dvd,dvd[-2],
player works and looks great  if you can get the dvd s to play ,positive,"player, look","player[+1], look[+3]",
i know the saying is  you get what you pay for  but at this stage of game dvd players must have better quality than this  there is no excuse ,negative,player,player[-3],
will never purchase apex again ,negative,apex,apex[-3],
customer service and technical support are overloaded and nonresponsive  tells you about the quality of their products and their willingness to stand behind them ,negative,"service, support","service[-3], support[-3]",
for the first few weeks  this player was everything i expected it to be  an affordable multiformat dvd player with a stylish slim case as advertised ,positive,case,case[+2],
then my dvds would stop playing in the middle  or not even be read at all ,negative,"dvd, read, play","dvd[-2], read[-2], play[-2]",
new cds almost always began skipping after a few plays ,negative,cd,cd[-2],
i thought it was just the player  but then i started checking the discs to find that the apex 2600 is actually ruining my media ,negative,player,player[-3],
this player is not worth any price and i recommend that you do nt purchase it ,negative,player,player[-3],
apex does nt answer the phone ,negative,support,support[-3],[u]
no way to contact their customer service ,negative,service,service[-2],
very bad quality ,negative,quality,quality[-3],
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites ,positive,player,player[+2],
i took it to my father s house to play a tom jones concert dvd and he loved the player so much i gave it to him ,positive,player,player[+1],
have used it frequently and have had no problems ,positive,player,player[+2],[p]
i liked this one enough to buy another ,positive,player,player[+2],[p]
my dad also has an apex tv and it was another great value for the money ,positive,apex,apex[+2],
great quality picture and features ,positive,"quality, feature","quality[+2], feature[+2]",
they play just about everything  but  2 and  3 died very shortly after getting them ,negative,player,player[-2],[p]
nice machines  but i consider their quality pretty low now ,negative,player,player[-1],
this item broke just two weeks after i gave it to my kids for christmas ,negative,player,player[-2],[u]
the door would not close ,negative,door,door[-2],
i tried to contact apex to return it  i missed the amazon return period  and it took 3 months to get through to their customer service dept ,negative,service,service[-3],
it looks great  and is loaded with features ,positive,"look, feature","look[+2], feature[+2]",
unfortunately it turns out to be the  disposable  type ,negative,player,player[-2],[p]
have had problems since the first day,negative,player,player[-2],[u]
 not playing some dvds and then finally after less than 60 days  it just would not recognize anything i pop in it ,negative,"play, dvd","play[-2], dvd[-2]",
the apex 2600 has been a steady performer for me ,positive,apex,apex[+2],
i bought mine in december of 2003  and have had no real problems with it ,positive,player,player[+1],[p]
it does tend to run quite hot and should be given lots of room for air circulation ,negative,heat,heat[-1],[u]
it did also seem to have a strong  new electronics  smell for some time ,negative,smell,smell[-2],
the only thing i did experience was a problem of the player freezing while playing  which i was able to clear by opening it up and blowing it out with  canned air  ,negative,freezing,freezing[-1],
 he had owned two apex dvd players  and was pleased with both of them  ,positive,player,player[+2],
the fact that this model would play jpeg slideshows was a big plus for me as a visual artist  and i discovered by accident  it is not mentioned anywhere in the literature  that it will play mpeg1 files on a regular cdr data disk without vcd formatting ,positive,"slideshow, mpeg1","slideshow[+2], mpeg1[+1]",
the remote is okay  but i am not a fan of remotes with tiny buttons ,negative,remote,remote[-1],
i especially like the more commonly used buttons  such as play  pause  and stop  to be larger and conveniently placed ,negative,button,button[-2],
i also did nt like the way it displayed information way down into the screen when you are in zoom mode ,negative,mode,mode[-2],
the zoom goes up and down in magnification  which is nice  but there is always a display of the zoom size about onequarter of the way down from the top of the screen that interferes with viewing at most settings ,negative,zoom,zoom[-2],
having spent considerable time with professional video gear  i find onscreen displays annoying ,negative,display,display[-2],
while i would like to give it 35 stars instead of 4  i gave it a 4 because it has run well for me during the time i have owned it ,positive,player,player[+2],[p]
it is more than 90 days and it does not show the picture no matter what i do ,negative,"picture, player","picture[-2], player[-3]",[p]
i have had this player for 3 months and have been able to see a total of 6 dvd s  after the frustration and aggrivation of getting the player to do it s job ,negative,player,player[-2],
i have tried many times to get a hold of apex who does nt seem to answer their emails and telephone number is constantly busy as  i believe  the one lonely customer service rep is probably extremely overworked ,negative,service,service[-3],
wo nt play a lot of discs ,negative,"play, disc","play[-2], disc[-2]",
some movies it played yesterday  it wo nt play today ,negative,play,play[-2],
it wo nt play 80  of my movies  which are all store boughten ,negative,play,play[-2],
tech support from apex is literally  nonexistent ,negative,support,support[-3],
i bought 2 of this model for christmas presents and neither one of them work ,negative,player,player[-3],[u]
it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working ,negative,player,player[-3],
the dvd player does not work properly ,negative,player,player[-2],
the player usually plays dvd s  but has occasional problems such as  1  not recognizing a dvd 2  stopping a particular point in a movie every time we played it 3  not being able to access certain special features on a rental dvd ,negative,player,player[-3],
this has happened with several different dvd s and occasionally if we keep trying something  it will work when it did not work one time before ,negative,player,player[-2],[p]
after we discovered the problems  we tried to contact apex  fkor 3 months   but we never got in touch with themthe customer support telephone number is always busy  and they do not answer their web customer support ,negative,support,support[-3],
nothing has broken on it  and it plays all the dvds i have ,positive,player,player[+2],[p]
unfortunately it can t play all of the dvd ,negative,"play, dvd","play[-2], dvd[-2]",
on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd ,negative,dvd,dvd[-2],
unfortunately i bought a player because the ps2 could nt play all my dvds  and now the player can t play everything ,negative,player,player[-2],
we tried it out christmas night and it worked great ,positive,work,work[+2],
even viewed cds full of jpgs ,positive,jpeg,jpeg[+2],
but when we went to use it again  there was sound but no picture ,negative,"picture, player","picture[-2], player[-2]",[p]
i hate apex but love amazon  and i tell everyone ,negative,apex,apex[-3],
who knows how many uses you ll get out of it before it craps out  but it probably will ,negative,player,player[-3],[p]
we ve purchased 3 universal remotes so farall claiming to work  apex  dvd players and none worked ,negative,remote,remote[-2],
 on here of course  also  a couple dvd s would nt play and they were new ones ,negative,"dvd, play","dvd[-2], play[-2]",
i had to return the remote on this product because it appeared to be defective ,negative,remote,remote[-2],
